time,context-switches,cpu-cycles,duration_time,task-clock,L1-dcache-load-misses,branch-misses,instructions,page-faults,L1-icache-load-misses,LLC-load-misses,dTLB-load-misses,iTLB-load-misses,benchmark,socket,core_list
1184,,,,,,,,,219011.0,215831.0,93693.0,35567.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1238,,,,,,,,,245693.0,225306.0,95849.0,34186.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1293,,,,,,,,,286698.0,226064.0,104504.0,42249.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1348,,,,,,,,,236513.0,223709.0,97817.0,36281.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1403,,,,,,,,,252103.0,222386.0,100381.0,37064.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1512,,,,,,,,,252787.0,222347.0,100942.0,38920.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1566,,,,,,,,,229574.0,218733.0,97174.0,36447.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1621,,,,,,,,,230799.0,219060.0,98809.0,37346.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1676,,,,,,,,,248537.0,219631.0,102187.0,40527.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1730,,,,,,,,,256227.0,220316.0,100530.0,39796.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1785,,,,,,,,,228974.0,213116.0,99149.0,38816.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1838,,,,,,,,,213263.0,219701.0,91505.0,30330.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1894,,,,,,,,,294620.0,219154.0,119286.0,48662.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2003,,,,,,,,,226398.0,216560.0,98889.0,37381.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2058,,,,,,,,,287235.0,265766.0,119790.0,40715.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2112,,,,,,,,,251661.0,217434.0,102112.0,40194.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2167,,,,,,,,,208961.0,214944.0,97679.0,35833.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2222,,,,,,,,,222447.0,213446.0,99815.0,38307.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2276,,,,,,,,,263408.0,220122.0,99601.0,39452.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2330,,,,,,,,,192503.0,223080.0,92028.0,31915.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2386,,,,,,,,,995194.0,343519.0,167172.0,110437.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2445,,,,,,,,,678473.0,410605.0,214397.0,68973.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2546,,,,,,,,,243542.0,259572.0,120331.0,46077.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2604,,,,,,,,,254779.0,213199.0,119679.0,53145.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2659,,,,,,,,,257853.0,214086.0,103470.0,41278.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2977,,,,,,,,,281135.0,302129.0,124758.0,42785.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
3007,,,,,,,,,245065.0,174858.0,83892.0,33330.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
